Pais,Cluster,PIB_per,Poblacion,Esperanza.vida,Acceso.electricidad,Area.boscosa,Suscripciones.movil,Crecimiento.PIB,Mortalidad.infantil,Inversion.extranjera,Gasto.salud,Uso.internet,Importaciones,Exportaciones,Tierra.cultivable,Crecimiento.poblacion,Industria,Remesas
Denmark,1,68091.3191138669,5903037,81.3048780487805,100,15.758,126.484,1.54017307357893,3.1,6.87340812577742,9.4758625,97.8601,60.9946813134056,70.5484698289144,59,0.787502464739957,20.8355183946708,0.3482254304594
Djibouti,2,3133.25779772463,1137096,65.54,65,0.257308024158758,46.7771,5.16653702854374,45.9,5.24930012962196,2.49675012,63.2573,143.034673702738,159.250735528808,0.129421915444349,1.40352932560807,15.0308727802738,1.58752439290675
Dominican Republic,2,10104.2449349081,11230734,74.211,98.1,44.8209283285911,90.376,5.23795652902595,29.1,3.56897098132173,4.57254791,81.5127,32.3520110514603,22.0261866198241,19.5692561644648,0.959629735113671,30.8255427451738,9.05734336867233
Ecuador,1,6515.58528418336,17823897,76.577,100,49.8038734095668,98.1309,5.86842354862311,11.2,0.759491173521047,7.53457022,69.7181,30.9555471259573,30.9252456928287,3.92172652601063,0.796723652034201,29.5835905417542,4.08839477102189
"Egypt, Arab Rep.",2,4233.30783744856,112618250,71.01,100,0.0451855944547692,90.6795,6.58784560886967,16.7,2.39118080969079,4.70438385,72.1981,21.8960790564233,15.0870258208479,3.11718318348486,1.48609697540294,32.7114314313038,5.94293350334715
El Salvador,2,5074.60210221806,6280319,71.969,100,27.7451737451737,183.249,2.95461516549889,9.5,0.0823187568481088,9.84079742,65.5298,56.2676262279527,32.433483149734,34.7972972972973,0.39146192798287,23.7319470400488,24.6343666305956
Estonia,1,28451.1477825175,1348840,77.8439024390244,100,57.0652937046572,152.271,0.0604305165130938,1.7,4.89320122469425,6.98701143,91.5202,87.9001575208055,86.6638366613108,16.5457523987831,1.3365515114828601,23.3390486819003,1.22489113625073
Eswatini,2,3889.65276959161,1218917,63.028,82.3,29.0686046511628,121.492,1.1195906677553,44.6,0.28158166701768,7.2226615,57.465,48.1319275416783,44.5469766780666,10.2906976744186,1.01620740015869,34.5409382976808,2.66775433933273
Fiji,2,5405.03006162671,919422,67.148,92,63.1297208538588,111.749,19.7927266886699,23.5,2.08434485529881,4.00910091,78.2433,69.3324442575567,48.1741153774177,4.20361247947455,0.295294727557318,15.7071309217372,9.23286194957366
Finland,1,50440.560224974,5556106,81.1878048780488,100,73.7264996576714,128.023,0.763041912763526,1.8,4.66691154081507,9.6589222,92.9888,48.2777537715821,46.2847802806846,7.37297896973723,0.271944526506117,25.1808292783738,0.23606130716
France,1,41082.8119320747,68065015,82.1292682926829,100,32.32173671027,115.951,2.57084047567793,3.4,4.01585632811977,11.8819046,85.3333,39.2864747207143,36.5036688904078,31.5249188236386,0.326992498564887,16.1980918380604,1.16988777201364
"Gambia, The",3,836.244875582631,2636470,64.859,65.4,22.8459584980237,106.782,5.49299825508946,34.9,10.4995861021697,3.41435836,44.0389,36.1520709170381,8.56985063519528,43.4782608695652,2.31992109797091,15.5889695316243,22.7621227952776
Georgia,2,6729.84659930283,3712502,74.141,100,40.6159159591308,154.014,10.9585321385624,8.1,9.15328575552963,7.25569582,78.7113,62.2165584682954,52.4788792204227,4.5474168945172,0.104889950638883,21.329779714521,15.4242760609985
Germany,1,49686.1154582583,83797985,80.6080487804878,100,32.685482024273,124.158,1.36973104612758,3.1,2.0947134896352,12.60513115,91.6298,43.2836096462941,45.7805177232318,33.3667277307076,0.720875455989295,25.6868874641173,0.470671278002611
Ghana,2,2229.89122647803,33149152,65.246,85.1,35.1604431005612,120.803,3.80484980952164,29.2,1.93240124339233,3.6993649,69.3607,35.451412242532,34.6640435533587,20.6998545265961,1.92029034344132,31.470050505779,2.87894180193646
Greece,1,20971.8349258283,10436882,80.7878048780488,100,30.2699767261443,109.027,5.74364902526337,3.3,3.6311990288799,8.49983692,83.1707,58.6593231211582,49.019884781247,14.4387362296354,-1.25988945727074,16.6977234545458,0.274387645140156
Guatemala,2,5358.70127494396,17847877,71.206,99.1,32.7043673012318,115.156,4.18451808712605,18.4,1.51615535198586,7.44098806,55.4086,35.4855404534188,18.9455010118901,14.501679731243,1.40623710213146,22.6306612736692,19.0341687086046
Guinea,3,1416.59612011764,14055137,60.432,47.7,24.8616311248576,108.885,3.97240784200721,63.1,3.30630355394451,3.95847702,24.6954,48.7466212613867,45.4186514317354,22.5862302620869,2.48250409145397,26.5029300686511,2.64823563849093
Guinea-Bissau,3,873.437861875428,2105529,63.605,37.4,69.8125889046942,125.935,5.58513728011474,44.3,1.17767426605187,8.11358356,27.5672,31.381452685394,14.8894039340798,13.7988762446657,2.24235388639993,12.8401638420559,10.3427657866983
Honduras,2,3003.28996826399,10463872,72.715,94.4,56.4604522298686,75.8551,4.14356194013767,13.7,2.41292398026651,8.28209972,56.3896,70.2593431190701,42.4391817948962,9.09822146751274,1.67679658023776,25.9084247689488,27.0011044721289
Hungary,1,18483.6366867035,9605074,75.8682926829268,100,22.4643754109139,105.794,4.27034755162904,3.2,-1.07832020714623,6.68981791,89.1428,94.304883999461,89.5031301401611,45.5585250931405,-0.268850150860009,24.2940340200039,2.23746079799553
Iceland,1,75121.0152280628,382003,82.119512195122,100,0.522265198849549,120.115,8.97897085175497,2,4.81779889629883,9.28593922,99.8082,46.2694129872105,45.8077781441652,1.20003967073292,2.51377343254216,21.8741188538847,0.678678410506865
India,2,2347.44829434623,1425423212,71.698,99.2,24.4494970049005,80.1818,7.60936497768895,25.6,1.49248825904,3.3058846,55.9,26.8237289453584,23.2515412045298,51.8054794009128,0.790200540609834,25.3845195629461,3.32391537862222
Indonesia,2,4730.83484836107,278830529,70.925,100,48.0419900717626,122.873,5.30719722664799,17.5,1.87264100861425,2.69394851,66.4846,20.9617585096621,24.5029116862832,9.39575176626131,0.746050469653246,41.4292641760979,0.99228904198387
Iraq,2,6520.73154560584,44070551,72.037,100,1.90035242899592,99.1324,7.95904804992662,21.5,-0.726653366772653,4.29332495,78.7156,24.2328478795559,44.5259462145341,11.4458802662797,2.29369659225826,65.2721245594509,0.3822220371914
Ireland,1,105234.511567597,5212836,82.509756097561,100,11.4678472927856,110.609,8.61950345618772,3.3,-6.48520600331753,6.11978531,96.6206,95.445050435626,136.684440145681,6.47408912759472,1.9810166406971501,40.6817053341015,0.0969410194535932
Israel,1,54949.621556429,9557500,82.7,100,6.46950092421442,151.138,6.26326343841286,2.7,4.35725962102686,7.34161806,91.8508,29.2595245774311,31.3853280968641,12.4075785582255,1.96636884788361,19.4269429799466,0.240907416807883
Italy,1,35653.9042103495,59013667,82.7,100,32.7125321249831,131.674,4.82117669913565,2.4,2.94181405797187,9.02753067,85.0607,36.9173622620119,35.0991400412578,23.9567056675233,-0.20230086688254,23.2791441111799,0.500437914318257
Japan,1,34065.6438962526,125124989,83.9963414634146,100,68.4087791495199,168.603,0.941998775483285,1.8,1.12971840820325,11.42183685,84.9234,25.2665627129772,21.5464241239166,11.1550068587106,-0.443851919148528,27.7174374582966,0.126874933673179
